subject,itemnumber,a,b,c
Math,1,1.058116793,-0.498121374,0.28250849
Math,2,0.786143667,-0.741993961,0.319866809
Math,3,1.219520945,-0.243290691,0.240147866
Math,4,0.928374364,-0.312022001,0.245273152
Math,5,0.42395478,-0.62678411,0.244577588
Math,6,1.454611657,0.535713888,0.21281
Math,7,0.416011599,-1.148398059,0.25604454
Math,8,0.911557663,-0.56582181,0.275992618
Math,9,1.027599733,0.264902847,0.254086198
Math,10,0.517989555,1.967491876,0.273963476
Math,11,1.218333835,0.456520283,0.279008909
Math,12,0.814311352,-1.31995712,0.251498795
Math,13,1.118922218,-1.455868104,0.24060725
Math,14,1.148414687,-0.465501909,0.253805784
Math,15,1.274139058,1.129814272,0.286504208
Math,16,0.849922869,-0.949143805,0.267347263
Math,17,1.112926774,0.381042739,0.224328731
Math,18,0.674603576,0.143298393,0.226849708
Math,19,1.246110292,0.341512122,0.232360836
Math,20,1.57300837,-0.337927134,0.256376309
Math,21,1.137981185,1.371774996,0.266362456
Math,22,0.80790358,0.724544421,0.251896377
Math,23,0.683440065,0.328547504,0.247033296
Math,24,1.110876475,0.010633362,0.259373761
Math,25,0.820432394,0.97521932,0.278196592
Math,26,1.147978347,-0.858997631,0.293109876
Math,27,0.669782977,1.517278744,0.212023987
Math,28,1.007933013,0.257654975,0.239936262
Math,29,1.161151333,0.297993391,0.225033527
Math,30,0.702610174,-0.122208235,0.265718064
Math,31,1.226941104,-0.630282476,0.251400279
Math,32,1.313219236,1.555199932,0.200958104
Math,33,0.627301424,-1.079139594,0.203631612
Math,34,0.797920914,-0.018934567,0.225155718
Math,35,1.799861176,0.698334737,0.222426003
Math,36,0.903860198,-0.382018199,0.280224916
Math,37,1.374731397,-0.918592477,0.33072577
Math,38,1.358665647,-0.551647922,0.244018036
Math,39,0.782570428,0.338052425,0.273229906
Math,40,1.22073772,-0.379457833,0.240135942
Math,41,0.609799263,0.736541466,0.302867504
Math,42,1.170784979,-0.834227155,0.201975918
Math,43,1.086726684,-1.285009603,0.233655406
Math,44,0.855412909,-0.993711522,0.239750975
Math,45,0.687019989,1.00497823,0.20801509
Math,46,1.19502586,1.225649508,0.220864024
Math,47,1.343845698,0.026266503,0.242068596
Math,48,1.290441288,0.311839152,0.267156843
Math,49,0.963470517,-0.983117257,0.231541065
Math,50,1.203685184,2.138890729,0.234444498
Math,51,0.947320925,0.875985698,0.205862363
Math,52,0.703691825,-0.358595867,0.226960888
Math,53,0.744257018,-0.428252614,0.2775568
Math,54,0.965965289,-1.586441012,0.320148205
Math,55,0.874195741,0.141352325,0.26815066
Math,56,1.01806899,0.309346494,0.218671614
Math,57,0.905173566,-0.962556053,0.232801949
Math,58,1.36103945,0.838599362,0.287041846
Math,59,1.01306589,-0.070955598,0.279878522
Math,60,0.625768011,-0.662041613,0.25168831
Math,61,1.389732001,0.898189461,0.27363016
Math,62,1.166038266,-1.0607996,0.267962301
Math,63,0.804290134,0.708694444,0.295816842
Math,64,1.473927542,1.456770831,0.22701385
Math,65,0.931897659,0.038735072,0.230944437
Math,66,1.5390942,-1.06043995,0.215963612
Math,67,1.095716058,-1.222842316,0.213788442
Math,68,0.34606557,0.424022234,0.312487876
Math,69,0.976468825,0.773956048,0.252560876
Math,70,1.102989536,2.4040796,0.174092488
Math,71,0.907209674,0.629133979,0.293915997
Math,72,0.848625479,-1.092704296,0.256168497
Math,73,1.05245011,1.395981716,0.221372741
Math,74,0.958996721,-1.074051559,0.316707603
Math,75,0.784261363,0.359365743,0.241602256
Math,76,0.876673354,-0.007857365,0.271243622
Math,77,0.509292189,0.361130771,0.210483971
Math,78,0.283086063,0.868547737,0.256553218
Math,79,0.626260953,-0.555039015,0.26510418
Math,80,0.915982281,-0.00415744,0.229288776
Math,81,0.788039012,-0.493877537,0.26454542
Math,82,0.900436396,0.417159076,0.222232255
Math,83,0.794809167,0.438187386,0.264823704
Math,84,1.255708125,-1.064456672,0.266970565
Math,85,0.829136272,-0.33667918,0.276796446
Math,86,0.88611623,0.06538552,0.253731114
Math,87,1.47393945,0.912744043,0.271399082
Math,88,1.09010098,0.18437414,0.245871249
Math,89,1.152918255,-0.015922833,0.345638318
Math,90,1.294466735,-0.092492261,0.27348425
Math,91,0.94655985,-0.028544854,0.22251084
Math,92,0.254478985,-1.811773416,0.323986319
Math,93,0.750442776,-1.728393923,0.186661973
Math,94,0.839156683,0.044112028,0.194946994
Math,95,0.845659069,1.632805527,0.235369864
Math,96,0.540738968,1.025388287,0.183710456
Math,97,0.826915927,-0.559481303,0.246086755
Math,98,0.50353574,-0.217932409,0.226141376
Math,99,1.194575037,0.416838847,0.286263105
Math,100,1.187388881,0.15200419,0.25426938
